id;project_name;start_date;end_date;department_name;budget;free_field_1;free_field_2;free_field_3;last_modified;last_modified_by
1;contextually-based Alaska Fresh;2022-05-02T17:40:44;2022-05-03T05:03:42;Architect Micronesia Health;alarm functionalities extensible;Total USB e-services;European Junctions digital;Account;invoice optical;vortals revolutionary
2;Computer Supervisor;2022-05-02T12:44:33;2022-05-02T20:16:29;Diverse;Brand copying;Corners Buckinghamshire Keyboard;Oklahoma;Tennessee Direct Radial;magenta;Assurance systemic
3;International open-source;2022-05-02T08:44:44;2022-05-03T06:35:18;Gloves violet Account;pink;microchip index actuating;Computer invoice digital;Administrator Berkshire Vision-oriented;next-generation;Gloves
4;Villages world-class;2022-05-02T15:05:29;2022-05-02T11:01:24;Liberia Metrics;Computer digital matrix;Metal matrix back-end;Cross-group compelling;Cote;supply-chains;South
5;teal e-services;2022-05-02T14:50:41;2022-05-02T09:12:44;District local Springs;program salmon Bedfordshire;Ball PCI Arabia;strategy black;conglomeration;system Handmade;Refined Borders scalable
6;Swiss;2022-05-03T03:47:38;2022-05-02T07:09:15;eyeballs hardware;Digitized Home;Frozen GB invoice;CSS Computer;Investor invoice;B2C withdrawal Ball;York Designer
7;brand;2022-05-03T01:13:21;2022-05-02T23:08:39;Analyst Strategist;seize payment;systems;Savings;applications;Market;innovative coherent connecting
8;Associate;2022-05-02T17:45:44;2022-05-02T10:32:43;Buckinghamshire mint;Paradigm Franc;Iranian 4th human-resource;Ball Director;copying bus;vortals grow vortals;JBOD Frozen Tennessee
9;Licensed;2022-05-03T06:37:56;2022-05-03T01:23:12;Persistent;optical ADP;Mountains Customer;Toys program Cotton;Account cross-platform;Soft product;payment
10;Awesome Ports;2022-05-02T21:37:07;2022-05-02T11:42:58;Movies magenta;Generic deploy SQL;Concrete architectures generate;Tools;Myanmar;world-class system parsing;Optimization Account
