id;inward_outward_date;inward_qty;outward_qty;total_quanity;price_per_unit;lot_no;expiry_date;inventory_type_id;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2022-05-03T04:25:00;1080p niches conglomeration;white Maine District;Mountains;67008;quantify;2022-05-02T21:51:28;quantifying Creative transform;Somalia Netherlands homogeneous;teal Shoes calculate;Handcrafted Pound;fuchsia payment THX;true;false
2;2022-05-03T04:20:42;Alaska redundant;Analyst;value-added hack;48607;Malta 1080p;2022-05-02T23:39:56;Books Buckinghamshire;dedicated redundant Borders;Turkish;Sweden Nebraska;Pizza frictionless Bedfordshire;true;false
3;2022-05-02T19:43:41;Sleek encompassing;solid;Handmade Drive Operations;26791;systems Wyoming;2022-05-02T13:08:42;Arab withdrawal;Supervisor mobile Manager;UIC-Franc;Rhode Industrial Regional;customized Versatile;true;false
4;2022-05-02T09:09:08;Mouse Investor invoice;Berkshire Missouri Chief;Pants EXE Leone;6726;Response parse overriding;2022-05-03T00:30:56;Small;Fish cohesive;Analyst;virtual Avon web-enabled;Berkshire indexing;false;true
5;2022-05-02T15:02:55;Extended;Krona empower Tuna;Tasty Inlet;64142;Internal Granite Chile;2022-05-03T06:05:10;Chips Strategist transition;withdrawal;engage programming recontextualize;Kroon;transform Unbranded Practical;true;false
6;2022-05-02T20:50:50;Producer deposit;Oklahoma mission-critical Cedi;Bedfordshire;4592;Generic;2022-05-02T07:45:07;Lead;Peso Oklahoma;regional;Ergonomic India Human;well-modulated Wooden Manat;false;true
7;2022-05-02T09:07:49;Rubber;compress orange;Concrete program Consultant;16287;Lane;2022-05-02T23:30:39;HDD North;Iranian Regional;dynamic;Vermont International;web-readiness Salad Berkshire;false;true
8;2022-05-02T17:33:27;bypass Industrial;Account Bedfordshire Berkshire;Account Frozen;78005;user-facing Gorgeous;2022-05-02T19:26:03;24/365 administration;system;Shore Administrator Concrete;Seamless;scalable Chicken;true;true
9;2022-05-02T13:01:42;User-centric digital;Buckinghamshire Sleek;composite Oregon;14728;client-driven;2022-05-02T10:09:09;blue Licensed index;Arkansas Up-sized firewall;Avon methodologies Assurance;Lakes;Wooden;true;true
10;2022-05-02T08:26:33;service-desk Fantastic;multi-tasking Knoll;generate;12480;redefine Squares;2022-05-02T18:51:57;Infrastructure Inverse;Usability indexing drive;Port Cheese Sleek;Diverse;Digitized pink;false;true
