id;name;deleted;lgd_code;last_modified;last_modified_by
1;Executive Buckinghamshire plum;true;25550;2022-05-03T00:03:43;utilize Fresh cohesive
2;SCSI;true;70848;2022-05-02T06:59:57;copying Program
3;withdrawal cutting-edge;true;75096;2022-05-02T14:31:26;cyan Response
4;Expanded Computer Indiana;true;96025;2022-05-02T16:59:37;synthesize
5;Kwacha Frozen quantify;true;96016;2022-05-03T06:28:16;International
6;withdrawal Granite;false;5420;2022-05-02T19:32:40;Field Movies scale
7;Investment Steel Luxembourg;true;99911;2022-05-02T10:13:56;Total
8;mindshare Gorgeous;true;47979;2022-05-02T23:25:15;alarm Buckinghamshire
9;Analyst interactive Ridges;true;26685;2022-05-02T16:57:21;neural Implementation bandwidth
10;Kids;false;51770;2022-05-03T00:06:19;actuating
