id;short_name;hsn_no;material_image;material_image_content_type;is_deleted;is_active;product_name;alert_units;description;base_price;quality;qr_code;bar_code;gst_percentage;product_type;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4
1;Steel;Assistant;../fake-data/blob/hipster.png;image/png;true;true;support navigate;Chilean reboot Dynamic;Track actuating deposit;44573;Steel;withdrawal models partnerships;Korea transmitting New;49167;RAWMATERIAL;Card;intranet;neutral;Bike;Computer CFP orange;Village
2;distributed indigo JSON;Personal Steel;../fake-data/blob/hipster.png;image/png;false;false;Ethiopia;Crossroad CSS;De-engineered;47207;Center black pixel;Account;Cheese Consultant online;80952;PRODUCT;Stand-alone Fantastic Sleek;AGP lavender;navigate brand up;systems Gorgeous;Brand;Plastic Cambridgeshire
3;Automotive;Operations Chicken;../fake-data/blob/hipster.png;image/png;true;true;transmit Incredible IB;Algeria Rustic;Taka;90493;optical functionalities;interactive;online Home Vista;51362;RAWMATERIAL;capacity Administrator CFA;Colombian B2C;bypassing Gateway Virtual;index Account Concrete;Soft;deposit clear-thinking focus
4;Loan;Small Congo Engineer;../fake-data/blob/hipster.png;image/png;true;true;index;Berkshire intuitive;Concrete Account Account;99880;grid-enabled Tasty Keyboard;Producer;back-end application;41129;OTHER;Concrete Venezuela JBOD;mint;withdrawal Facilitator Nebraska;circuit Regional JBOD;Directives;Guinea-Bissau SCSI
5;Serbia;content Cordoba;../fake-data/blob/hipster.png;image/png;true;true;Plastic;Auto;Plastic;67862;Malta matrix Unbranded;forecast Credit;Rhode aggregate indexing;37529;RAWMATERIAL;cyan;Integration up reinvent;Vision-oriented transform XML;IB;payment maximize;Colombian
6;indigo;Taka payment;../fake-data/blob/hipster.png;image/png;true;true;back-end;U.S. copying Dakota;user-facing benchmark 1080p;82149;auxiliary Oman Shirt;Pizza Metal;Account;94565;PRODUCT;Car;radical Chicken up;PCI;Cambridgeshire San;Plastic orange;partnerships Music
7;Wells;Arabia Avon;../fake-data/blob/hipster.png;image/png;false;false;regional and;Bolivar methodology;Credit system;26570;Global Viaduct;HTTP Utah Account;Account;85;RAWMATERIAL;pixel;Uganda primary Ergonomic;Games copying;Cook International Inlet;Chief 1080p Yen;port
8;scalable Sports collaboration;Carolina Planner;../fake-data/blob/hipster.png;image/png;false;false;Generic;Designer;e-commerce matrix mesh;68738;Cotton Gambia Rubber;Leone;Designer withdrawal holistic;59041;BOTH;Fish Palladium Account;Games Unbranded;adapter Auto neural;protocol Handcrafted;Maine transition Bedfordshire;primary Configuration
9;PCI concept pixel;bluetooth Lodge;../fake-data/blob/hipster.png;image/png;true;false;Central;Home;invoice;4861;Jewelery Tuna;firewall;IB Card Fantastic;33800;RAWMATERIAL;cross-platform Mobility;Granite;Fantastic;Account indexing;synthesizing;Florida Islands
10;virtual;Checking expedite;../fake-data/blob/hipster.png;image/png;true;true;Fresh;connect Paradigm grow;high-level;79224;framework online;Paradigm neural-net;Springs;83759;BOTH;Solomon optical;Beauty;Administrator;Inlet Chips Operative;Uganda Representative;enterprise
