id;name;type;value;descriptions;is_active;last_modified;last_modified_by
1;Bedfordshire Hat;REGISTRATION_CATEGORY;Consultant Wooden workforce;calculating Analyst orchid;false;matrix overriding;Plastic Baby Borders
2;Checking;REGISTRATION_CATEGORY;Loan override;relationships Coordinator Operative;false;mindshare payment;synergistic Configurable deposit
3;Credit;REGISTRATION_CATEGORY;Cotton;sticky Beauty;false;Baby withdrawal;customer Awesome
4;Kentucky;REGISTRATION_CATEGORY;revolutionary Associate impactful;web-enabled optimal;true;Garden;Cotton engage efficient
5;New;OTHER;Granite Chips;Grocery Automotive;false;Light;ROI Mount
6;Engineer Books;OTHER;Movies Movies Fresh;Liaison Florida;true;lime Tasty;Incredible
7;synthesizing;OTHER;Identity Principal;black;false;Texas Credit Wyoming;Account
8;integrated parse navigate;REGISTRATION_CATEGORY;quantify;application Hong;true;Maine Music;Cotton Tasty turquoise
9;Grocery;REGISTRATION_CATEGORY;input Quality;connect Metal Credit;false;RSS Music;Locks synthesizing
10;payment Rubber;OTHER;up projection redefine;Tools;false;Rest;parsing Cotton
