id;name;deleted;lgd_code;last_modified;last_modified_by
1;salmon;true;57211;2022-05-02T18:26:59;Avon
2;black Polarised;false;49800;2022-05-02T11:21:22;Fresh Chad
3;Borders transmitter;true;61905;2022-05-02T18:32:17;Auto conglomeration benchmark
4;Romania Mayen Streamlined;false;80355;2022-05-03T00:58:56;global Games
5;forecast;true;34875;2022-05-03T03:08:39;SAS Factors leading-edge
6;core Architect withdrawal;true;89219;2022-05-02T23:50:52;bluetooth
7;Jewelery process;true;6655;2022-05-02T19:59:11;Producer
8;Soft;false;85927;2022-05-03T06:25:09;transmitting Union Configuration
9;matrix;false;59886;2022-05-02T12:47:25;next-generation optical software
10;Liberia Soft Plastic;true;75824;2022-05-03T06:20:20;Forward mesh infrastructures
