id;approval_date;qty;comment;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2022-05-03T00:52:53;13957;back Supervisor;(Malvinas) Concrete internet;indexing;data-warehouse Associate bus;Senior Benin;true;false
2;2022-05-02T18:01:54;45937;redundant Sausages bluetooth;Intelligent;Producer;bottom-line SSL;Lock;true;true
3;2022-05-03T00:13:52;86199;Functionality orchid;Kids connecting;modular Steel;Market Rustic Vermont;Global;true;false
4;2022-05-02T11:44:05;75771;Tasty Frozen;invoice Reverse-engineered;wireless haptic Pizza;system Cordoba;Functionality;true;false
5;2022-05-02T16:42:28;98800;Buckinghamshire;Handcrafted Refined;Facilitator;Gardens Trail;Investment open;true;false
6;2022-05-03T02:37:16;78400;Yemen;copying Account;Uganda;Monetary e-business instruction;Gourde;true;false
7;2022-05-03T00:34:08;35890;Berkshire visualize;ivory;background;Gibraltar Vietnam;Integration violet;false;true
8;2022-05-02T23:38:42;96559;cyan engage programming;Customer SMS;orange;Tanzania Fresh Dollar;copying;true;false
9;2022-05-02T12:06:49;49985;Strategist ubiquitous;migration Iowa Avon;Iowa online;transitional;deliverables SAS;false;true
10;2022-05-02T16:21:47;59838;invoice Towels;RAM Associate matrix;capacitor;tangible;auxiliary Unbranded up;true;false
